id;categoria;palabra;archivo_imagen;descripcion_actual;descripcion_ocr;descripcion_corregida
LSP-000610;paises_y_ciudades;monterrico;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_02.png;;MONTERRICO id a ! ( ‘ 4 Colocar ambos pufos paralelos realizar movimiento circular como cabalgando.;
LSP-000611;paises_y_ciudades;pueblo libre;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_03.png;;PUEBLO LIBRE ) Oh ——= , a ~ @ 1. Configurar “P” con la mano derecha. 2. Configurar “L” con ambas manos acompafado de movimiento recto hacia los lados separando las manos.;
LSP-000612;paises_y_ciudades;rímac;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_04.png;;RIMAC ” | ( 1. Configurar “R” del alfabeto. 2. Movimiento hacia abajo.;
LSP-000613;paises_y_ciudades;san borja;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_05.png;;SAN BORJA =_—- = ow), KH @ yt ™ @ ul N ( 1. Configurar “S” conlamano derecha. 2. Configurar “B” conla mano derecha.;
LSP-000614;paises_y_ciudades;san isidro;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_06.png;;SAN ISIDRO SS Sf 1. Configurar “S” conla mano derecha. 2. Formarla “Il” conlamano derecha.;
LSP-000615;paises_y_ciudades;san juan de lurigancho;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_01.png;;SAN JUAN DE LURIGANCHO © ® (ay 1. Configurar “S”con la mano derecha. 2. Superponer la mano derecha sobre la izquierda, ambas con los dedos extendidos y el pulgar flexionado sobre la palma. Invertir esa posicion colocando la mano izquierda sobre la derecha.;
LSP-000616;paises_y_ciudades;san luis;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_02.png;;SAN LUIS DO) ON / ,. ‘\ Ni 7 i, Ne VOX 3 @ yy NS 1. Colocar las manos abiertas a ambos lados de la cabeza. 2. Llevarlas a la altura del cuello uniendo las yemas.;
LSP-000617;paises_y_ciudades;san martín de porres;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_03.png;;SAN MARTIN DE PORRES @ (K iN my )) i 2. Simular accion de barrer. >;
LSP-000618;paises_y_ciudades;san miguel;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_04.png;;} le \~\ ») . Zz Colocar el pulgar de la mano derecha dentro de pufo de la mano izquierda, ejecutar el movimiento de bandera.;
LSP-000619;paises_y_ciudades;surco;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_05.png;;SURCO <= —_—> Configurar “S” y acompafar con movimiento de derechaa izquierda.;
LSP-000620;paises_y_ciudades;villa el salvador;imagenes/paises_y_ciudades/revisar_pagina_233_tarjeta_06.png;;VILLA EL SALVADOR Wie <— s,s SNe ek oP), Ny;
LSP-000621;instituciones_y_lugares;aeropuerto;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_01.png;;AEROPUERTO ‘N;
LSP-000622;instituciones_y_lugares;avenida;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_02.png;;AVENIDA;
LSP-000623;instituciones_y_lugares;casa;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_03.png;;CASA y \ A \;
LSP-000624;instituciones_y_lugares;comisaría;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_04.png;;@ ~ XN 1. Colocar ala altura de la sien la mano derecha con el pulgar flexionado, los demas dedos extendidos y lacara palmar hacia fuera. 2. Ejecutar sefia de casa.;
LSP-000625;instituciones_y_lugares;cárcel;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_05.png;;, 7% LS ~ . a Cruzar ambas manos con los dedos extendidos y separados, y el pulgar flexionado, en contacto con el dorso de la derecha.;
LSP-000626;instituciones_y_lugares;cementerio;imagenes/instituciones_y_lugares/revisar_pagina_234_tarjeta_06.png;;CEMENTERIO . EN 7. es @ RNS 1. Sefia de muerto. 2. Levar la mano derecha con los dedos extendidos debajo de la mano izquierda, contactando el dorso con la palma de la mano izquierda.;
